#po Enhancers
#Created from ./po_gal5/po_12KB_STITCHED_TSS_DISTAL_ENHANCER_REGION_MAP.txt
#Ranked by X20180716.F_TKD180701835_1.fq.gz.rmdup.bam
#Using cutoff of 15327.2206 for Super-Enhancers
#Created on Oct 23 2018 
REGION_ID	CHROM	START	STOP	NUM_LOCI	CONSTITUENT_SIZE	X20180716.F_TKD180701835_1.fq.gz.rmdup.bam	X20180716.IN_TKD180701837_1.fq.gz.rmdup.bam	enhancerRank	isSuper
13_po.27ac_peak_8436_lociStitched	2	126577527	126618916	13	22548	70630.3285	14502.7056	54	1
22_po.27ac_peak_6815_lociStitched	2	885621	936304	22	21567	75639.3092	19690.3455	55	1
10_po.27ac_peak_4108_lociStitched	12	9621339	9665530	10	19034	71381.7223	15595.0039	56	1
13_po.27ac_peak_6909_lociStitched	2	6430643	6463891	13	22173	67965.5616	12255.2128	57	1
11_po.27ac_peak_5939_lociStitched	17	8639692	8672395	11	22924	67149.0699	11838.486	58	1
17_po.27ac_peak_11858_lociStitched	3	45577663	45622431	17	23561	69690.3456	14477.9712	59	1
17_po.27ac_peak_5332_lociStitched	15	4696495	4735622	17	25142	69736.0521	14641.3234	60	1
19_po.27ac_peak_17710_lociStitched	9	19425020	19481071	19	21057	73365.1539	18278.2311	61	1
10_po.27ac_peak_4683_lociStitched	13	15185852	15215064	10	24718	65373.5348	10323.5208	62	1
7_po.27ac_peak_15281_lociStitched	5	51538887	51568332	7	26575	65615.238	10997.7075	63	1
21_po.27ac_peak_6189_lociStitched	18	6249055	6294529	21	19563	70684.7856	16138.7226	64	1
26_po.27ac_peak_2181_lociStitched	1	133650262	133700818	26	21625	71612.574	17274.9852	65	1
15_po.27ac_peak_12325_lociStitched	3	76083199	76122479	15	18863	67820.848	13787.28	66	1
14_po.27ac_peak_5919_lociStitched	17	8401347	8439553	14	25135	68763.1588	14736.0542	67	1
18_po.27ac_peak_2857_lociStitched	10	1098850	1144655	18	20401	69967.1375	16036.3305	68	1
16_po.27ac_peak_4502_lociStitched	13	8482236	8524109	16	21757	70396.8876	16468.6509	69	1
12_po.27ac_peak_8259_lociStitched	2	108206177	108249457	12	19376	66737.76	13776.024	70	1
16_po.27ac_peak_3523_lociStitched	11	2036627	2069259	16	26283	65094.3136	12142.3672	71	1
14_po.27ac_peak_16367_lociStitched	7	14007695	14043551	14	25200	63429.264	11029.3056	72	1
9_po.27ac_peak_12953_lociStitched	4	1800759	1825959	9	21032	61593.84	9482.76	73	1
18_po.27ac_peak_950_lociStitched	1	53983427	54053271	18	11395	77722.4032	25653.7012	74	1
14_po.27ac_peak_15762_lociStitched	6	19211479	19257443	14	18063	67488.9412	15857.58	75	1
24_po.27ac_peak_12111_lociStitched	3	57248500	57305199	24	18345	69569.673	18160.6897	76	1
14_po.27ac_peak_9817_lociStitched	23	2053298	2110644	14	16962	70833.7792	19428.8248	77	1
15_po.27ac_peak_8055_lociStitched	2	99913756	99947105	15	23238	60561.784	9797.9362	78	1
21_po.27ac_peak_11242_lociStitched	3	9790218	9840549	21	17905	67332.8118	16875.9843	79	1
17_po.27ac_peak_9200_lociStitched	20	11704496	11752670	17	15599	66422.3112	16316.5338	80	1
14_po.27ac_peak_6214_lociStitched	18	6423259	6455104	14	24795	62448.045	12524.6385	81	1
22_po.27ac_peak_4512_lociStitched	13	8825222	8880260	22	16814	69793.6878	20804.364	82	1
11_po.27ac_peak_6306_lociStitched	18	9232602	9283008	11	14105	66838.356	18594.7734	83	1
16_po.27ac_peak_8218_lociStitched	2	108041916	108088325	16	16315	64179.0061	16433.4269	84	1
16_po.27ac_peak_9994_lociStitched	23	5542820	5586711	16	20978	63558.5571	15835.8728	85	1
14_po.27ac_peak_7706_lociStitched	2	63287558	63329252	14	17954	62269.989	14893.0968	86	1
19_po.27ac_peak_9930_lociStitched	23	5063649	5097324	19	19546	59901.09	12682.005	87	1
9_po.27ac_peak_7084_lociStitched	2	17100165	17133487	9	19759	58916.6282	11865.9642	88	1
12_po.27ac_peak_4615_lociStitched	13	13031683	13078313	12	14713	64386.704	17775.356	89	1
9_po.27ac_peak_3041_lociStitched	10	8880419	8905519	9	18886	55558.85	9043.53	90	1
13_po.27ac_peak_11979_lociStitched	3	51917737	51962704	13	15567	62229.8313	15837.3774	91	1
12_po.27ac_peak_3171_lociStitched	10	12997839	13033909	12	14752	60291.005	13948.269	92	1
15_po.27ac_peak_5847_lociStitched	17	6573669	6611212	15	18541	59516.9179	13425.3768	93	1
16_po.27ac_peak_4317_lociStitched	12	18623466	18660826	16	17572	59645.24	13557.944	94	1
16_po.27ac_peak_9937_lociStitched	23	5152431	5205903	16	12375	66209.0304	20827.344	95	1
21_po.27ac_peak_10272_lociStitched	24	6198112	6245370	21	13893	62924.027	17598.8792	96	1
22_po.27ac_peak_10236_lociStitched	24	5586987	5635884	22	13491	63214.0416	18052.7724	97	1
10_po.27ac_peak_7492_lociStitched	2	51757104	51802713	10	11994	60878.8932	15739.6659	98	1
17_po.27ac_peak_9118_lociStitched	20	11198496	11232514	17	20475	57157.0436	12021.9612	99	1
17_po.27ac_peak_2011_lociStitched	1	120734572	120775618	17	16950	59553.6414	14595.9576	100	1
10_po.27ac_peak_10056_lociStitched	24	1457555	1499217	10	15971	60618.21	15752.4022	101	1
16_po.27ac_peak_11581_lociStitched	3	27686964	27721843	16	20287	55677.3477	11443.7999	102	1
6_po.27ac_peak_10610_lociStitched	26	5102020	5133272	6	18468	56009.8344	11978.8916	103	1
13_po.27ac_peak_16277_lociStitched	7	10330789	10377039	13	14947	60573.625	16844.25	104	1
18_po.27ac_peak_724_lociStitched	1	48079019	48140775	18	13854	62935.5396	20163.334	105	1
8_po.27ac_peak_8133_lociStitched	2	102919752	102941917	8	17516	49897.848	7411.976	106	1
11_po.27ac_peak_9736_lociStitched	23	933339	956785	11	19774	50505.0286	8482.7628	107	1
12_po.27ac_peak_15239_lociStitched	5	49722840	49765761	12	15992	56157.8364	14481.5454	108	1
13_po.27ac_peak_9976_lociStitched	23	5323202	5373165	13	10107	60095.4964	18516.2878	109	1
13_po.27ac_peak_5721_lociStitched	17	2423019	2486510	13	12954	62418.0021	20888.539	110	1
13_po.27ac_peak_6005_lociStitched	18	269499	310328	13	15080	56976.8695	15461.9423	111	1
18_po.27ac_peak_8899_lociStitched	20	3859416	3890186	18	20403	52555.16	11043.353	112	1
16_po.27ac_peak_9954_lociStitched	23	5233052	5284861	16	13195	61647.5291	20267.6808	113	1
17_po.27ac_peak_1069_lociStitched	1	57407040	57446904	17	12743	55422.9192	14056.0464	114	1
14_po.27ac_peak_15410_lociStitched	5	57863321	57901491	14	15043	54094.524	12958.715	115	1
15_po.27ac_peak_8853_lociStitched	20	1555777	1587114	15	17396	51204.658	10385.0818	116	1
9_po.27ac_peak_546_lociStitched	1	37900467	37938643	9	13980	54461.8816	13682.2784	117	1
12_po.27ac_peak_8094_lociStitched	2	102293371	102333345	12	15339	54176.7622	13403.2822	118	1
20_po.27ac_peak_8742_lociStitched	2	141981791	142021290	20	17852	51846.3874	11490.2591	119	1
12_po.27ac_peak_7975_lociStitched	2	91014559	91046864	12	15409	50919.141	10608.962	120	1
9_po.27ac_peak_17226_lociStitched	8	26686243	26709968	9	20360	48911.46	8657.2525	121	1
7_po.27ac_peak_15851_lociStitched	6	23073444	23121713	7	13458	57454.5907	17386.4938	122	1
12_po.27ac_peak_9085_lociStitched	20	10704295	10740028	12	15810	53481.5811	13557.1002	123	1
10_po.27ac_peak_3842_lociStitched	12	1327132	1359017	10	16288	50888.46	10965.2515	124	1
7_po.27ac_peak_844_lociStitched	1	50701815	50733302	7	13763	51298.6204	11653.3387	125	1
15_po.27ac_peak_339_lociStitched	1	30356995	30387188	15	17756	49130.0496	9894.2461	126	1
7_po.27ac_peak_3731_lociStitched	11	17004483	17025222	7	18934	46426.3254	7273.1673	127	1
9_po.27ac_peak_17444_lociStitched	9	8159627	8179900	9	17887	46096.7474	6992.1577	128	1
10_po.27ac_peak_10950_lociStitched	28	3065034	3108612	10	13791	52215.1596	13265.1432	129	1
11_po.27ac_peak_4647_lociStitched	13	13536379	13578390	11	15553	53139.7139	14392.9686	130	1
11_po.27ac_peak_11795_lociStitched	3	38950639	38991105	11	13865	50829.3426	12281.431	131	1
16_po.27ac_peak_12087_lociStitched	3	56383327	56427615	16	10931	54000.3584	15531.8016	132	1
17_po.27ac_peak_17697_lociStitched	9	19334913	19364391	17	16259	49425.7626	10980.555	133	1
13_po.27ac_peak_16164_lociStitched	7	5764977	5794639	13	16555	49188.4946	11167.743	134	1
11_po.27ac_peak_15299_lociStitched	5	51813156	51840482	11	15303	48448.998	10542.3708	135	1
16_po.27ac_peak_14033_lociStitched	4	73740797	73777300	16	12859	49976.2573	12170.1002	136	1
14_po.27ac_peak_17250_lociStitched	8	28783185	28812104	14	15565	48317.8652	10627.7325	137	1
20_po.27ac_peak_15884_lociStitched	6	23182658	23216605	20	12673	51392.3633	13741.7456	138	1
13_po.27ac_peak_1602_lociStitched	1	84498478	84535749	13	13145	49861.1438	12262.159	139	1
11_po.27ac_peak_5077_lociStitched	14	8485041	8517915	11	14104	49449.0708	12041.7462	140	1
17_po.27ac_peak_17602_lociStitched	9	15247855	15296815	17	15636	54492.48	17258.4	141	1
4_po.27ac_peak_17398_lociStitched	9	5713524	5732590	4	13615	44315.1038	7176.4424	142	1
13_po.27ac_peak_4131_lociStitched	12	9851281	9876921	13	18610	45557.152	8438.124	143	1
17_po.27ac_peak_4454_lociStitched	13	7813197	7851506	17	13098	50383.9968	13346.8556	144	1
15_po.27ac_peak_13737_lociStitched	4	49952943	49978425	15	18420	44896.7358	8052.312	145	1
9_po.27ac_peak_3305_lociStitched	10	18787352	18814492	9	15486	45958.876	9129.896	146	1
11_po.27ac_peak_6508_lociStitched	19	5207646	5252307	11	7318	52396.2852	15832.3245	147	1
14_po.27ac_peak_16627_lociStitched	7	35615463	35653144	14	10846	51167.0299	14759.6477	148	1
7_po.27ac_peak_2815_lociStitched	1	194402839	194443982	7	10797	51243.6065	14844.3944	149	1
11_po.27ac_peak_16328_lociStitched	7	12601291	12629815	11	15705	46126.1604	9783.732	150	1
9_po.27ac_peak_5096_lociStitched	14	8954986	8988387	9	13963	48344.6074	12171.3244	151	1
11_po.27ac_peak_2791_lociStitched	1	193350062	193371269	11	16380	44072.3874	7954.7457	152	1
6_po.27ac_peak_3209_lociStitched	10	14592446	14614375	6	14847	43901.858	7793.5666	153	1
18_po.27ac_peak_3102_lociStitched	10	10930875	10963285	18	13132	47723.725	11790.758	154	1
11_po.27ac_peak_14550_lociStitched	5	15807815	15835653	11	15276	46442.1354	10617.4132	155	1
13_po.27ac_peak_14873_lociStitched	5	28901190	28929557	13	14306	45633.9929	9851.8591	156	1
8_po.27ac_peak_16687_lociStitched	8	1676681	1710824	8	13219	47807.0286	12049.0647	157	1
11_po.27ac_peak_4850_lociStitched	14	3283851	3326968	11	9738	51671.4128	16048.1474	158	1
9_po.27ac_peak_10161_lociStitched	24	4491783	4520549	9	13702	45559.5908	9961.6658	159	1
9_po.27ac_peak_4170_lociStitched	12	10907443	10940811	9	11134	47799.66	12249.3928	160	1
15_po.27ac_peak_561_lociStitched	1	38089201	38120085	15	14666	46776.9064	11445.6104	161	1
10_po.27ac_peak_8811_lociStitched	20	728244	766529	10	8829	50562.9995	15279.5435	162	1
9_po.27ac_peak_9181_lociStitched	20	11569173	11610354	9	11229	49289.5389	14215.6812	163	1
7_po.27ac_peak_6114_lociStitched	18	4299592	4324517	7	14532	44608.2725	9601.11	164	1
13_po.27ac_peak_5602_lociStitched	15	11057363	11095885	13	10345	48695.6602	13775.4672	165	1
7_po.27ac_peak_3740_lociStitched	11	17044924	17068238	7	16116	43657.7964	8756.7384	166	1
11_po.27ac_peak_13479_lociStitched	4	29623307	29653356	11	14162	46383.6364	11517.7817	167	1
14_po.27ac_peak_8617_lociStitched	2	136778334	136826069	14	11636	50861.6425	16124.883	168	1
12_po.27ac_peak_6668_lociStitched	19	7980763	8010804	12	14412	44313.4791	9583.079	169	1
8_po.27ac_peak_4903_lociStitched	14	4305665	4327255	8	16681	42342.308	7657.973	170	1
13_po.27ac_peak_10872_lociStitched	28	1605824	1643805	13	12401	48026.9745	13380.7063	171	1
10_po.27ac_peak_15600_lociStitched	6	11441360	11470166	10	11240	44928.7182	10324.0704	172	1
8_po.27ac_peak_15815_lociStitched	6	21468169	21489794	8	18421	40603.1	6117.7125	173	1
14_po.27ac_peak_11483_lociStitched	3	21173345	21202509	14	14312	44058.0548	9606.6216	174	1
14_po.27ac_peak_6899_lociStitched	2	6364542	6392629	14	12399	44736.9736	10597.2251	175	1
6_po.27ac_peak_8466_lociStitched	2	126963792	126981758	6	16785	40608.5498	6473.1498	176	1
13_po.27ac_peak_6038_lociStitched	18	2522743	2549231	13	15491	44044.2464	9959.488	177	1
13_po.27ac_peak_9875_lociStitched	23	4177955	4221927	13	8271	49165.0932	15104.382	178	1
11_po.27ac_peak_14989_lociStitched	5	38963741	39000107	11	10968	47639.46	13655.433	179	1
10_po.27ac_peak_1685_lociStitched	1	88428952	88452232	10	15483	42174.048	8215.512	180	1
11_po.27ac_peak_10806_lociStitched	28	832847	875273	11	9056	48229.8768	14369.6862	181	1
12_po.27ac_peak_15175_lociStitched	5	48287398	48322284	12	11077	46276.279	12429.8818	182	1
9_po.27ac_peak_10718_lociStitched	27	4857599	4886219	9	11679	43636.914	10088.55	183	1
7_po.27ac_peak_6598_lociStitched	19	6185736	6217056	7	11102	44615.34	11093.544	184	1
13_po.27ac_peak_9331_lociStitched	20	13925211	13957134	13	10733	45094.4298	11651.895	185	1
9_po.27ac_peak_11600_lociStitched	3	27742071	27776766	9	9730	45943.119	12597.7545	186	1
15_po.27ac_peak_5269_lociStitched	15	1447017	1481230	15	12394	45479.3409	12470.6385	187	1
10_po.27ac_peak_5685_lociStitched	17	1844290	1864266	10	15829	40808.9704	7872.5416	188	1
13_po.27ac_peak_6195_lociStitched	18	6350314	6383576	13	11180	45033.4218	12223.785	189	1
11_po.27ac_peak_10691_lociStitched	27	4533100	4573225	11	8688	46476.7875	13827.075	190	1
11_po.27ac_peak_10429_lociStitched	26	746689	770168	11	14903	40045.7824	7567.2817	191	1
15_po.27ac_peak_12495_lociStitched	3	92122038	92153431	15	12303	43080.6139	10786.6348	192	1
9_po.27ac_peak_13301_lociStitched	4	16645842	16683901	9	8823	45385.3575	13313.0382	193	1
8_po.27ac_peak_17430_lociStitched	9	8053732	8070664	8	14980	37863.3384	5887.2564	194	1
13_po.27ac_peak_10310_lociStitched	25	1300432	1344791	13	11064	47242.335	15357.0858	195	1
8_po.27ac_peak_7733_lociStitched	2	64746407	64795007	8	7700	49246.38	17389.08	196	1
7_po.27ac_peak_10970_lociStitched	28	3302404	3328102	7	11168	39885.8658	8130.8472	197	1
8_po.27ac_peak_1265_lociStitched	1	68246426	68277012	8	9406	43346.4792	11641.0316	198	1
13_po.27ac_peak_9555_lociStitched	21	5347933	5376066	13	12205	42326.0985	10715.8597	199	1
6_po.27ac_peak_11138_lociStitched	3	7457091	7480787	6	16695	38934.8976	7355.2384	200	1
12_po.27ac_peak_3084_lociStitched	10	10693176	10735963	12	9496	45854.8279	14320.8089	201	1
9_po.27ac_peak_17810_lociStitched	9	23821899	23851901	9	10941	41990.7992	10485.699	202	1
7_po.27ac_peak_2244_lociStitched	1	144781320	144811552	7	9917	44770.5688	13271.848	203	1
11_po.27ac_peak_3221_lociStitched	10	14628438	14650962	11	13756	39401.2332	7923.9432	204	1
14_po.27ac_peak_13105_lociStitched	4	9380356	9423455	14	8735	46637.4279	15162.2282	205	1
11_po.27ac_peak_13199_lociStitched	4	12986958	13026410	11	10542	45452.6492	13997.5696	206	1
11_po.27ac_peak_4000_lociStitched	12	6878440	6901347	11	15376	40057.4709	8665.7181	207	1
9_po.27ac_peak_17632_lociStitched	9	15834779	15871885	9	8021	45198.8186	13925.8818	208	1
8_po.27ac_peak_3549_lociStitched	11	2451166	2470015	8	15313	37950.5766	6695.1648	209	1
11_po.27ac_peak_16365_lociStitched	7	13949714	13992658	11	8152	44219.4368	13063.5648	210	1
9_po.27ac_peak_4920_lociStitched	14	4542954	4588959	9	7093	49519.782	18553.8165	211	1
12_po.27ac_peak_17348_lociStitched	9	4362851	4390821	12	11666	41415.179	10491.547	212	1
11_po.27ac_peak_6320_lociStitched	18	9347168	9388583	11	5685	45738.726	14905.2585	213	1
7_po.27ac_peak_6082_lociStitched	18	3099601	3122425	7	12374	38800.8	8038.6128	214	1
8_po.27ac_peak_9061_lociStitched	20	10216291	10235041	8	12783	38062.5	7443.75	215	1
8_po.27ac_peak_5898_lociStitched	17	8239563	8260172	8	15265	38567.6826	7983.9266	216	1
12_po.27ac_peak_16499_lociStitched	7	23219649	23239166	12	14438	37267.7115	6684.5725	217	1
14_po.27ac_peak_14197_lociStitched	4	89746087	89770588	14	13654	37420.3773	6843.1293	218	1
6_po.27ac_peak_2052_lociStitched	1	122977661	122993488	6	14052	35628.1597	5113.7037	219	1
10_po.27ac_peak_1496_lociStitched	1	78472823	78496877	10	13162	38303.5896	7819.9554	220	1
4_po.27ac_peak_1883_lociStitched	1	110056108	110070651	4	13761	36066.64	5594.6921	221	1
17_po.27ac_peak_5354_lociStitched	15	5141586	5169487	17	10763	40925.1868	10462.875	222	1
11_po.27ac_peak_12548_lociStitched	3	97839310	97881262	11	11538	44037.0144	13642.7904	223	1
8_po.27ac_peak_16938_lociStitched	8	13403950	13439681	8	8126	42802.1649	12420.0956	224	1
6_po.27ac_peak_13508_lociStitched	4	29756364	29786235	6	10067	41613.2901	11404.7478	225	1
12_po.27ac_peak_9724_lociStitched	23	87570	125842	12	11190	42585.2544	12396.3008	226	1
10_po.27ac_peak_17883_lociStitched	AADN04000814.1	5190	27493	10	5912	54863.1497	24682.7301	227	1
15_po.27ac_peak_13854_lociStitched	4	58731626	58763394	15	13224	40354.8904	10267.4176	228	1
12_po.27ac_peak_14449_lociStitched	5	11765428	11795329	12	10812	40088.2707	10010.8548	229	1
10_po.27ac_peak_6802_lociStitched	2	852607	872415	10	15938	37789.7024	7840.0064	230	1
14_po.27ac_peak_12036_lociStitched	3	55126368	55157770	14	10678	40492.879	10563.6328	231	1
8_po.27ac_peak_5361_lociStitched	15	5247830	5272502	8	8632	38601.8112	8839.9776	232	1
7_po.27ac_peak_3908_lociStitched	12	2912117	2928856	7	15153	35637.331	5890.4541	233	1
12_po.27ac_peak_18459_lociStitched	Z	9325875	9364577	12	8193	36817.2126	7152.1296	234	1
11_po.27ac_peak_15208_lociStitched	5	49293420	49322621	11	12247	39508.953	9858.2576	235	1
5_po.27ac_peak_17357_lociStitched	9	4447023	4460562	5	12495	34241.4849	4668.2472	236	1
9_po.27ac_peak_6348_lociStitched	18	9914313	9940544	9	11676	39404.2082	9852.3636	237	1
12_po.27ac_peak_11285_lociStitched	3	12556549	12586775	12	11525	40164.3088	10633.5068	238	1
13_po.27ac_peak_12935_lociStitched	4	1329500	1359189	13	10223	40258.284	10732.5735	239	1
9_po.27ac_peak_10745_lociStitched	27	5334128	5353671	9	13243	36185.8188	6783.3753	240	1
10_po.27ac_peak_13004_lociStitched	4	2941876	2978829	10	9672	43353.2596	13983.0152	241	1
9_po.27ac_peak_10994_lociStitched	28	3901708	3934209	9	7169	41741.0343	12538.8858	242	1
8_po.27ac_peak_6695_lociStitched	19	8554907	8588426	8	9940	41017.2003	11818.7994	243	1
12_po.27ac_peak_13021_lociStitched	4	3016185	3042147	12	11764	38260.1994	9125.643	244	1
10_po.27ac_peak_13603_lociStitched	4	35366788	35403426	10	5211	41697.7078	12618.1272	245	1
9_po.27ac_peak_17781_lociStitched	9	23349200	23375244	9	12755	38636.274	9597.214	246	1
5_po.27ac_peak_7558_lociStitched	2	58407331	58427889	5	11491	35170.6264	6153.0094	247	1
6_po.27ac_peak_5925_lociStitched	17	8573991	8595355	6	11088	36333.7548	7481.6728	248	1
11_po.27ac_peak_10574_lociStitched	26	4295724	4329931	11	7353	41773.5884	12981.5565	249	1
5_po.27ac_peak_13342_lociStitched	4	17506950	17522921	5	14846	34460.6267	5700.0499	250	1
8_po.27ac_peak_2769_lociStitched	1	193085331	193122332	8	6250	39820.4762	11166.9018	251	1
9_po.27ac_peak_11313_lociStitched	3	15325320	15346620	9	12063	36122.67	7510.38	252	1
10_po.27ac_peak_15980_lociStitched	6	30875603	30899528	10	11628	36767.94	8270.8725	253	1
11_po.27ac_peak_3932_lociStitched	12	4498820	4534126	11	10506	40563.0634	12244.1208	254	1
11_po.27ac_peak_14840_lociStitched	5	28387738	28416357	11	11071	39548.5961	11267.3003	255	1
8_po.27ac_peak_6928_lociStitched	2	6506066	6535789	8	11463	37876.0189	9621.3351	256	1
6_po.27ac_peak_10928_lociStitched	28	2803117	2819889	6	13710	33624.5056	5455.9316	257	1
12_po.27ac_peak_16425_lociStitched	7	18667063	18699184	12	12010	39267.9225	11120.2902	258	1
7_po.27ac_peak_516_lociStitched	1	36696606	36715927	7	12578	33603.0832	5473.6393	259	1
10_po.27ac_peak_9427_lociStitched	21	2630929	2655743	10	11700	36295.4378	8213.434	260	1
10_po.27ac_peak_1174_lociStitched	1	62745677	62766962	10	11367	35573.6205	7500.834	261	1
13_po.27ac_peak_8716_lociStitched	2	140627111	140657666	13	8058	39095.1225	11100.6315	262	1
10_po.27ac_peak_3727_lociStitched	11	16935161	16963875	10	8851	38436.5604	10724.679	263	1
10_po.27ac_peak_16588_lociStitched	7	33511312	33542816	10	8860	36922.688	9233.8224	264	1
10_po.27ac_peak_13098_lociStitched	4	9010196	9041406	10	9256	38244.734	10589.553	265	1
12_po.27ac_peak_17299_lociStitched	9	1204009	1228501	12	11307	36929.0376	9275.1204	266	1
7_po.27ac_peak_1052_lociStitched	1	57281048	57296313	7	13024	33155.58	5519.824	267	1
12_po.27ac_peak_15620_lociStitched	6	11956057	11989147	12	11050	37378.464	9887.292	268	1
